-0.4,-0.36190476190476195,-0.3238095238095238,-0.2857142857142857,-0.24761904761904763,-0.20952380952380953,-0.17142857142857143,-0.1333333333333333,-0.09523809523809523,-0.05714285714285716,-0.019047619047619035,0.01904761904761909,0.05714285714285716,0.09523809523809523,0.13333333333333341,0.17142857142857149,0.20952380952380956,0.24761904761904763,0.2857142857142857,0.3238095238095239,0.36190476190476195,0.4
0.46,0.47,0.47,0.47,0.48,0.48,0.49,0.51,0.51,0.51,0.52,0.52,0.51,0.51,0.51,0.49,0.48,0.48,0.47,0.47,0.47,0.46
0.48,0.48,0.49,0.51,0.53,0.53,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.53,0.53,0.53,0.51,0.49,0.48,0.48
0.51,0.52,0.53,0.54,0.55,0.55,0.55,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.54,0.53,0.52,0.51
0.53,0.54,0.55,0.55,0.56,0.56,0.56,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.55,0.55,0.54,0.53
0.55,0.55,0.56,0.56,0.56,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.55,0.55
0.55,0.56,0.56,0.57,0.57,0.57,0.57,0.57,0.58,0.59,0.59,0.59,0.59,0.58,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.55
0.56,0.56,0.57,0.57,0.57,0.57,0.57,0.59,0.59,0.6,0.6,0.6,0.6,0.59,0.59,0.57,0.57,0.57,0.57,0.57,0.56,0.56
0.56,0.56,0.57,0.57,0.57,0.57,0.58,0.59,0.6,0.6,0.6,0.6,0.6,0.6,0.59,0.58,0.57,0.57,0.57,0.57,0.56,0.56
0.56,0.57,0.57,0.57,0.57,0.57,0.57,0.59,0.59,0.6,0.6,0.6,0.6,0.59,0.59,0.57,0.57,0.57,0.57,0.57,0.57,0.56
0.56,0.56,0.57,0.57,0.57,0.57,0.57,0.58,0.59,0.59,0.59,0.59,0.59,0.59,0.58,0.57,0.57,0.57,0.57,0.57,0.56,0.56
0.56,0.56,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.58,0.58,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56
0.56,0.56,0.56,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56
0.56,0.56,0.56,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56
0.56,0.56,0.56,0.56,0.56,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.56,0.56
0.55,0.56,0.56,0.56,0.56,0.56,0.56,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.56,0.56,0.56,0.56,0.56,0.56,0.55
0.55,0.55,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55
0.55,0.55,0.55,0.55,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55,0.55,0.55,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.55,0.55
0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54
0.53,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.53
